Product,Selling Price,Current stock,SKU,Image _url
ADF Pickup Roller Kit for HP M527 / M577 / M556 / M578 / M586 (W5U23-67901),"৳ 2,000.00",2.00 Pieces,7134,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913294/download_19_nsv0dl.jpg
ADF Pickup Roller Kit for SAMSUNG K2200 / HP M436A,"৳ 3,000.00",1.00 Pieces,7135,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913327/download_20_l8cp1i.jpg
ADF Pickup Roller Replacement Kit for HP M630 / M680 / M651 / M525 / M575 / M725 / M775 / X585 / 7500 / 8500fn1 (L2725-60002),"৳ 3,800.00",2.00 Pieces,7136,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913399/download_tlyjnt.jpg
ADF Pickup Roller Separation Pad for Epson L550 / L551 / L558 / L565 / M201 / M205 Printer,"৳ 1,800.00",2.00 Pieces,7137,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913456/490535065_1416795793036460_9062974385850341736_n_sumkwa.jpg
ADF Pickup Roller Separation Pad for HP Color M477 / M377 / M477fdn / M477fdw / 477fnw / M426 / M277 / M274 / M281 (B3Q10-60105 B3Q10-40080),"৳ 1,000.00",7.00 Pieces,7138,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913498/download_1_oxupa6.jpg
ADF Pickup with Separation pad for Epson WF7510 / 7515 / 7520 / 7521 / 7525 / 7610 / 7620 / 7621 / 7710 / 7720 / l1455 / WF7510 / WF7520 / WF7620 / WF7620 (1805318),"৳ 3,000.00",2.00 Pieces,6981,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913531/download_2_hwa2tw.jpg
ADF Roller & Separation for HP Scanjet Enterprise Flow N9120 FN2 (L2685A),"৳ 1,850.00",2.00 Pieces,7139,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913565/download_3_rzhkvq.jpg
Adjustment Software Install,"৳ 1,550.00",0.00 Pieces,7140,
AGP lift sensor EPSON L1800 / L1300 / T1100 sensor (1303976),৳ 500.00,10.00 Pieces,7141,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913611/download_4_f3cofw.jpg
Almirah,"৳ 2,000.00",1.00 Pieces,7142,
Analyzar Card 4 Display(754490),৳ 280.00,2.00 Pieces,7143,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913667/download_5_tbv99u.jpg
ANIK High Speed Card Reader,৳ 40.00,10.00 Pieces,7144,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913705/download_6_pul5te.jpg
Antivirus e-Scan Single User,৳ 320.00,0.00 Pieces,7145,
Antivirus for Desktop/Laptop (Escan),৳ 290.00,0.00 Pieces,7146,
Antivirus for Desktop/Laptop (Kaspersky),৳ 655.00,-20.00 Pieces,7147,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913748/download_7_fy3lrk.jpg
Antlvirus e-Scan Single User,৳ 295.00,0.00 Pieces,7148,
Aonetech CPU COOLING FAN,৳ 150.00,0.00 Pieces,7149,
APG Unit for Epson L-1455 (6659087),"৳ 5,500.00",1.00 Pieces,7150,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913796/download_8_oktq3x.jpg
Apollo 1120KS 1200VA UPS,"৳ 5,200.00",0.00 Pieces,7151,
Apollo 3kVA Online UPS,"৳ 150,000.00",0.00 Pieces,7152,
Apollo 650VA UPS,"৳ 2,700.00",0.00 Pieces,7153,
Arm Swing Driver Fuser Gear for HP Laserjet PRO 400 / Mfp M401 / M425 / M425dn / M425dw / M401A / M401d / M401dn / M401dw (29T RC3-2511 / RU7-0374 / RU7-0375,৳ 350.00,44.00 Pieces,6982,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913851/download_9_ev1qyo.jpg
Arm Swing Driver Fuser Gear for HP Laserjet PRO 400 / Mfp M401 / M425 / M425dn / M425dw / M401A / M401d / M401dn / M401dw (29T RC3-2511 / RU7-0374 / RU7-0375) (Imported),৳ 350.00,0.00 Pieces,6983,
Arm swing for For HP M600 / M601 / M602 / M603 (RC2-2432),"৳ 5,500.00",5.00 Pieces,7154,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913891/download_10_sja6hi.jpg
Arm swing for For HP M600 / M601 / M602 / M603 (RC2-2432)(Imported),"৳ 5,500.00",0.00 Pieces,7155,
Arm Swing for HP LaserJet 1000 / 1150 / 1200 / 1220 / 1300 / 3300 / 3310 / 3320 / 3330 / 3380 (17T) (RA0-1005-GR),৳ 300.00,10.00 Pieces,7156,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913937/download_11_zeq9x3.jpg
Arm Swing gear Assemble for Canon LBP3300 / 3360 / 3310 / 3370 / For HP 1320 / 1160 / P2014 / P2015 / 3390 / 3392 / M2727 (RC1-3575-000),৳ 250.00,58.00 Pieces,7157,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913981/download_12_awcobi.jpg
Arm Swing gear Assemble for Canon LBP3300 / 3360 / 3310 / 3370 / For HP 1320 / 1160 / P2014 / P2015 / 3390 / 3392 / M2727 (RC1-3575-000) (Imported),৳ 350.00,0.00 Pieces,7158,
Arm Swing Gear Drive for 1320 HP 1160 / P2014 / P2015 / 3390 / 3392 / M2727 for Canon LBP3300 / 3360 / 3310 / 3370 (RU5-0307 / RC1-3575),৳ 400.00,15.00 Pieces,7159,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761914050/download_13_iona2s.jpg
Arm Swing Gear for HP LaserJet 9000 / 9040 / 9050 / 9059 (29T RG5-5656-000),৳ 500.00,15.00 Pieces,7160,
Arm swing gear hp 4250 / 4350 / 4300 / 4345 (RM1-0043-GRB),৳ 500.00,9.00 Pieces,7161,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761914577/download_14_kjjnmq.jpg
